date,time,steps
2021-02-23,00:01,61
2021-02-23,00:06,5
2021-02-23,00:09,61
2021-02-23,00:14,5
2021-02-23,00:17,61
2021-02-23,00:22,5
2021-02-23,00:25,60
2021-02-23,00:30,5
2021-02-23,00:33,61
2021-02-23,00:38,5
2021-02-23,00:41,61
2021-02-23,00:46,5
2021-02-23,00:49,61
2021-02-23,00:54,5
2021-02-23,00:57,61
2021-02-23,01:02,5
2021-02-23,01:05,61
2021-02-23,01:10,5
2021-02-23,01:13,62
2021-02-23,01:18,5
2021-02-23,01:21,61
2021-02-23,01:26,5
2021-02-23,01:29,62
2021-02-23,01:34,5
2021-02-23,01:37,61
2021-02-23,01:42,5
2021-02-23,01:45,61
2021-02-23,01:50,5
2021-02-23,01:53,61
2021-02-23,01:58,5
2021-02-23,02:01,62
2021-02-23,02:06,5
2021-02-23,02:09,62
2021-02-23,02:14,5
2021-02-23,02:17,62
2021-02-23,02:22,5
2021-02-23,02:25,62
2021-02-23,02:30,5
2021-02-23,02:33,62
2021-02-23,02:38,5
2021-02-23,02:41,62
2021-02-23,02:46,5
2021-02-23,02:49,62
2021-02-23,02:54,5
2021-02-23,02:57,62
2021-02-23,03:02,5
2021-02-23,03:05,62
2021-02-23,03:10,5
2021-02-23,03:13,62
2021-02-23,03:18,5
2021-02-23,03:21,62
2021-02-23,03:26,5
2021-02-23,03:29,62
2021-02-23,03:34,5
2021-02-23,03:37,62
2021-02-23,03:42,5
2021-02-23,03:45,62
2021-02-23,03:50,5
2021-02-23,03:53,62
2021-02-23,03:58,5
2021-02-23,04:01,62
2021-02-23,04:06,5
2021-02-23,04:09,62
2021-02-23,04:14,5
2021-02-23,04:17,62
2021-02-23,04:22,5
2021-02-23,04:25,62
2021-02-23,04:30,5
2021-02-23,04:33,62
2021-02-23,04:38,5
2021-02-23,04:41,62
2021-02-23,04:46,5
2021-02-23,04:49,62
2021-02-23,04:54,5
2021-02-23,04:57,62
2021-02-23,05:02,5
2021-02-23,05:05,62
2021-02-23,05:10,5
2021-02-23,05:13,62
2021-02-23,05:18,5
2021-02-23,05:21,62
2021-02-23,05:26,5
2021-02-23,05:29,62
2021-02-23,05:34,5
2021-02-23,05:37,62
2021-02-23,05:42,5
2021-02-23,05:45,62
2021-02-23,05:50,5
2021-02-23,05:53,62
2021-02-23,05:58,5
2021-02-23,06:01,62
2021-02-23,06:06,5
2021-02-23,06:09,61
2021-02-23,06:14,5
2021-02-23,06:17,61
2021-02-23,06:22,5
2021-02-23,06:25,62
2021-02-23,06:30,5
2021-02-23,06:33,62
2021-02-23,06:38,5
2021-02-23,06:41,62
2021-02-23,06:46,5
2021-02-23,06:49,62
2021-02-23,06:54,5
2021-02-23,06:57,62
2021-02-23,07:02,5
2021-02-23,07:05,62
2021-02-23,07:10,5
2021-02-23,07:13,62
2021-02-23,07:18,5
2021-02-23,07:21,62
2021-02-23,07:26,5
2021-02-23,07:29,62
2021-02-23,07:34,5
2021-02-23,07:37,62
2021-02-23,07:42,5
2021-02-23,07:45,62
2021-02-23,07:50,5
2021-02-23,07:53,62
2021-02-23,07:58,5
2021-02-23,08:01,62
2021-02-23,08:06,5
2021-02-23,08:09,62
2021-02-23,08:14,5
2021-02-23,08:17,62
2021-02-23,08:22,5
2021-02-23,08:25,62
2021-02-23,08:30,5
2021-02-23,08:33,62
2021-02-23,08:38,5
2021-02-23,08:41,62
2021-02-23,08:46,5
2021-02-23,08:49,62
2021-02-23,08:54,5
2021-02-23,08:57,62
2021-02-23,09:02,5
2021-02-23,09:05,62
2021-02-23,09:10,5
2021-02-23,09:13,62
2021-02-23,09:18,5
2021-02-23,09:21,62
2021-02-23,09:26,5
2021-02-23,09:29,62
2021-02-23,09:34,5
2021-02-23,09:37,62
2021-02-23,09:42,5
2021-02-23,09:45,62
2021-02-23,09:50,5
2021-02-23,09:53,62
2021-02-23,09:58,5
2021-02-23,10:01,62
2021-02-23,10:06,5
2021-02-23,10:09,62
2021-02-23,10:14,5
2021-02-23,10:17,62
2021-02-23,10:22,5
2021-02-23,10:25,62
2021-02-23,10:30,5
2021-02-23,10:33,62
2021-02-23,10:38,5
2021-02-23,10:41,62
2021-02-23,10:46,5
2021-02-23,10:49,62
2021-02-23,10:54,5
2021-02-23,10:57,62
2021-02-23,11:02,5
2021-02-23,11:05,62
2021-02-23,11:10,5
2021-02-23,11:13,62
2021-02-23,11:18,5
2021-02-23,11:21,62
2021-02-23,11:26,5
2021-02-23,11:29,62
2021-02-23,11:34,5
2021-02-23,11:37,62
2021-02-23,11:42,5
2021-02-23,11:45,62
2021-02-23,11:50,5
2021-02-23,11:53,62
2021-02-23,11:58,5
2021-02-23,12:01,62
2021-02-23,12:06,5
2021-02-23,12:09,62
2021-02-23,12:14,5
2021-02-23,12:17,62
2021-02-23,12:22,5
2021-02-23,12:25,62
2021-02-23,12:30,5
2021-02-23,12:33,62
2021-02-23,12:38,5
2021-02-23,12:41,62
2021-02-23,12:46,5
2021-02-23,12:49,62
2021-02-23,12:54,5
2021-02-23,12:57,62
2021-02-23,13:02,5
2021-02-23,13:05,62
2021-02-23,13:10,5
2021-02-23,13:13,62
2021-02-23,13:18,5
2021-02-23,13:21,62
2021-02-23,13:26,5
2021-02-23,13:29,62
2021-02-23,13:34,5
2021-02-23,13:37,62
2021-02-23,13:42,5
2021-02-23,13:45,62
2021-02-23,13:50,5
2021-02-23,13:53,62
2021-02-23,13:58,5
2021-02-23,14:01,62
2021-02-23,14:06,5
2021-02-23,14:09,62
2021-02-23,14:14,5
2021-02-23,14:17,62
2021-02-23,14:22,5
2021-02-23,14:25,62
2021-02-23,14:30,5
2021-02-23,14:33,62
2021-02-23,14:38,5
2021-02-23,14:41,62
2021-02-23,14:46,5
2021-02-23,14:49,62
2021-02-23,14:54,5
2021-02-23,14:57,62
2021-02-23,15:02,5
2021-02-23,15:05,62
2021-02-23,15:10,5
2021-02-23,15:13,62
2021-02-23,15:18,5
2021-02-23,15:21,62
2021-02-23,15:26,5
2021-02-23,15:29,62
2021-02-23,15:34,5
2021-02-23,15:37,62
2021-02-23,15:42,5
2021-02-23,15:45,62
2021-02-23,15:50,5
2021-02-23,15:53,62
2021-02-23,15:58,5
2021-02-23,16:01,62
2021-02-23,16:06,5
2021-02-23,16:09,62
2021-02-23,16:14,5
2021-02-23,16:17,62
2021-02-23,16:22,5
2021-02-23,16:25,62
2021-02-23,16:30,5
2021-02-23,16:33,62
2021-02-23,16:38,5
2021-02-23,16:41,62
2021-02-23,16:46,5
2021-02-23,16:49,62
2021-02-23,16:54,5
2021-02-23,16:57,62
2021-02-23,17:02,5
2021-02-23,17:05,62
2021-02-23,17:10,5
2021-02-23,17:13,62
2021-02-23,17:18,5
2021-02-23,17:21,62
2021-02-23,17:26,5
2021-02-23,17:29,62
2021-02-23,17:34,5
2021-02-23,17:37,62
2021-02-23,17:42,5
2021-02-23,17:45,62
2021-02-23,17:50,5
2021-02-23,17:53,62
2021-02-23,17:58,5
2021-02-23,18:01,62
2021-02-23,18:06,5
2021-02-23,18:09,62
2021-02-23,18:14,5
2021-02-23,18:17,62
2021-02-23,18:22,5
2021-02-23,18:25,62
2021-02-23,18:30,5
2021-02-23,18:33,62
2021-02-23,18:38,5
2021-02-23,18:41,62
2021-02-23,18:46,5
2021-02-23,18:49,62
2021-02-23,18:54,5
2021-02-23,18:57,62
2021-02-23,19:02,5
2021-02-23,19:05,62
2021-02-23,19:10,5
2021-02-23,19:13,62
2021-02-23,19:18,5
2021-02-23,19:21,62
2021-02-23,19:26,5
2021-02-23,19:29,62
2021-02-23,19:34,5
2021-02-23,19:37,62
2021-02-23,19:42,5
2021-02-23,19:45,62
2021-02-23,19:50,5
2021-02-23,19:53,62
2021-02-23,19:58,5
2021-02-23,20:01,62
2021-02-23,20:06,5
2021-02-23,20:09,62
2021-02-23,20:14,5
2021-02-23,20:17,62
2021-02-23,20:22,5
2021-02-23,20:25,62
2021-02-23,20:30,5
2021-02-23,20:33,62
2021-02-23,20:38,5
2021-02-23,20:41,62
2021-02-23,20:46,5
2021-02-23,20:49,62
2021-02-23,20:54,5
2021-02-23,20:57,62
2021-02-23,21:02,5
2021-02-23,21:05,62
2021-02-23,21:10,5
2021-02-23,21:13,61
2021-02-23,21:18,5
2021-02-23,21:21,62
2021-02-23,21:26,5
2021-02-23,21:29,62
2021-02-23,21:34,5
2021-02-23,21:37,62
2021-02-23,21:42,5
2021-02-23,21:45,62
2021-02-23,21:50,5
2021-02-23,21:53,61
2021-02-23,21:58,5
2021-02-23,22:01,61
2021-02-23,22:06,5
2021-02-23,22:09,61
2021-02-23,22:14,5
2021-02-23,22:17,61
2021-02-23,22:22,5
2021-02-23,22:25,61
2021-02-23,22:30,5
2021-02-23,22:33,61
2021-02-23,22:38,5
