date,start,stop,distance,calories,steps
2020-06-07,16:59,17:25,290,8,441
2020-06-07,18:07,18:11,87,2,137
2020-06-12,19:08,19:26,84,3,132
2020-06-12,19:28,19:34,274,8,427
2020-06-12,19:35,19:52,123,4,193
2020-06-12,19:53,19:58,274,8,424
2020-06-17,09:49,10:04,61,2,97
2020-06-20,15:59,16:06,112,3,176
2020-06-20,16:16,16:21,336,11,519
2020-06-20,16:37,16:43,236,7,370
2020-07-03,18:48,18:58,513,19,764
2020-07-03,18:59,19:04,410,14,589
2020-07-03,19:05,19:35,1750,61,2617
2020-07-04,09:33,10:27,3000,103,4549
2020-07-04,13:25,13:30,94,2,148
2020-07-04,13:31,13:47,86,2,135
2020-07-04,14:40,15:04,94,4,148
2020-07-05,11:19,11:23,126,3,198
2020-07-05,11:24,11:34,565,17,853
2020-07-05,11:35,12:12,2332,80,3485
2020-07-05,12:44,13:00,128,4,201
2020-08-14,16:24,16:50,353,11,554
2020-08-14,17:08,17:14,109,3,172
2020-08-14,17:30,17:34,84,2,133
2020-08-14,17:51,18:12,77,3,122
2020-08-14,18:34,18:39,219,6,344
2020-10-07,17:24,17:28,129,3,202
2020-10-07,19:03,19:07,130,3,204
2020-10-07,19:08,19:25,215,8,331
2020-10-10,15:50,15:56,205,4,322
2020-10-10,16:45,17:07,369,11,572
2020-10-10,17:52,17:58,77,3,122
2020-10-10,21:11,21:18,423,14,630
2020-10-17,18:29,18:33,68,1,108
2020-10-17,18:47,18:58,476,16,669
2020-10-19,19:16,19:25,222,8,330
2020-10-20,14:05,14:10,123,3,194
2020-10-20,23:00,23:05,114,3,180
2020-10-21,15:15,15:20,95,3,150
2020-10-21,20:56,21:00,102,2,161
2020-10-22,12:46,12:50,111,2,174
2020-10-22,15:28,15:39,284,6,445
2020-10-22,19:36,19:56,551,12,864
2020-10-22,21:00,21:08,143,5,225
2020-10-23,20:09,20:14,138,3,217
2020-10-23,20:42,20:46,59,2,93
2020-10-24,09:28,09:34,140,4,220
2020-10-24,11:10,11:14,127,2,200
2020-10-24,11:42,11:51,263,5,412
2020-10-24,14:18,14:25,189,4,297
2020-10-24,17:22,17:28,235,6,368
2020-10-25,11:18,11:32,396,8,620
2020-10-25,12:17,12:21,90,2,141
2020-10-25,12:31,12:35,91,2,144
2020-10-25,17:04,17:19,405,8,635
2020-10-25,18:31,18:35,141,2,221
2020-10-25,18:59,19:04,222,6,348
2020-10-26,15:34,15:38,137,2,215
2020-10-26,15:39,15:42,319,11,424
2020-10-26,15:43,15:56,608,17,952
2020-10-27,07:14,07:20,75,3,118
2020-10-27,11:05,11:16,308,6,483
2020-10-27,14:54,15:00,150,4,236
2020-10-27,15:01,15:04,354,12,447
2020-10-27,15:05,15:19,531,12,832
2020-10-28,08:01,08:08,242,5,379
2020-10-28,13:31,13:36,112,3,176
2020-10-28,14:25,14:33,286,9,449
2020-10-28,14:34,14:37,393,13,471
2020-10-28,14:38,14:43,174,3,273
2020-10-29,09:46,09:51,99,3,156
2020-10-29,10:02,10:07,141,2,221
2020-10-29,10:13,10:17,83,2,131
2020-10-29,10:43,10:48,150,4,235
2020-10-29,11:01,11:05,245,8,385
2020-10-29,11:16,11:24,123,5,194
2020-10-29,11:38,11:43,156,4,245
2020-10-29,11:49,11:57,241,6,346
2020-10-30,05:52,05:56,74,2,116
2020-10-30,08:35,08:46,369,8,578
2020-10-30,10:50,10:54,160,2,252
2020-10-30,11:35,11:39,127,3,199
2020-10-30,11:52,12:03,373,11,585
2020-10-30,12:04,12:08,453,15,565
2020-10-31,03:20,03:24,133,4,209
2020-10-31,08:22,08:46,443,14,694
2020-10-31,08:51,08:58,677,23,871
2020-10-31,09:05,09:09,168,5,264
